"Reference","URN","Version"
"AF183899   ","142557","2"
"AF184002   ","136800","2"
"AF184002   ","142040","2"
"AF184111   ","141467","2"
"AF184111   ","142399","2"
"AF184321   ","140031","2"
"AF184321   ","142034","2"
"AF184321   ","142057","2"
"AF184321   ","142526","2"
"AF184321   ","142527","2"
"AF184355   ","139790","2"
"AF184355   ","141966","2"
"AF184391   ","141973","2"
"AF184391   ","142351","2"
"AF184391   ","142385","2"
"AF184538   ","142349","2"
"AF185121   ","139324","2"
"AF185121   ","142402","2"
"AF185121   ","142492","2"
"AF185252   ","142607","2"
"AF185287   ","138315","2"
"AF185287   ","141761","2"
"AF185287   ","141847","2"
"AF185718   ","141683","2"
"AF185718   ","142133","2"
"AF185723   ","142134","2"
"AF186129   ","141979","2"
"AF186129   ","142353","2"
"AF186129   ","142386","2"
"AF186402   ","142129","2"
"AF187953   ","142345","2"
"AF187953   ","142356","2"
"AF187953   ","142366","2"
"AF187953   ","142380","2"
"AF187953   ","142415","2"
"AF188290   ","142024","2"
"AF188364   ","140539","2"
"AF188364   ","141972","2"
"AF188488   ","140906","2"
"AF188512   ","138841","2"
"AF188512   ","142274","2"
"AF188513   ","139975","2"
"AF188513   ","142031","2"
"AF188520   ","142050","2"
"AF188523   ","142306","2"
"AF188526   ","141964","2"
"AF188527   ","140698","2"
"AF188527   ","142093","2"
"AF188530   ","136090","2"
"AF188530   ","141549","2"
"AF188531   ","136665","2"
"AF188531   ","142090","2"
"AF188536   ","139176","2"
"AF188536   ","141672","2"
"AF188538   ","138697","2"
"AF188538   ","140388","2"
"AF188548   ","136459","2"
"AF188548   ","139536","2"
"AF188548   ","139766","2"
"AF188548   ","142285","2"
"AF188549   ","142265","2"
"AF188557   ","136667","2"
"AF188557   ","142119","2"
"AF188561   ","140384","2"
"AF188561   ","140385","2"
"AF188561   ","140393","2"
"AF188561   ","140433","2"
"AF188565   ","136323","2"
"AF188565   ","142313","2"
"AF188578   ","139302","2"
"AF188578   ","140484","2"
"AF188591   ","142262","2"
"AF188615   ","137035","2"
"AF188615   ","141976","2"
"AF188630   ","138919","2"
"AF188630   ","142027","2"
"AF188630   ","142194","2"
"AF188632   ","142145","2"
"AF188632   ","142165","2"
"AF188632   ","142167","2"
"AF188665   ","140183","2"
"AF188665   ","142142","2"
"AF188685   ","138069","2"
"AF188685   ","142074","2"
"AF188685   ","142311","2"
"AF188696   ","136822","2"
"AF188696   ","141963","2"
"AF188708   ","142277","2"
"AF188708   ","142278","2"
"AF188749   ","136286","2"
"AF188749   ","142052","2"
"AF188752   ","136582","2"
"AF188752   ","140430","2"
"AF188752   ","140431","2"
"AF188752   ","140432","2"
"AF188789   ","139818","2"
"AF188789   ","140425","2"
"AF188789   ","142045","2"
"AF188789   ","142164","2"
"AF188789   ","142443","2"
"AF188800   ","141901","2"
"AF188801   ","141673","2"
"AF188810   ","139975","2"
"AF188810   ","142031","2"
"AF188831   ","137939","2"
"AF188831   ","140207","2"
"AF188856   ","139882","2"
"AF188856   ","141818","2"
"AF188856   ","142319","2"
"AF188857   ","136291","2"
"AF188857   ","142043","2"
"AF188867   ","142100","2"
"AF188867   ","142101","2"
"AF188867   ","142102","2"
"AF188867   ","142103","2"
"AF188887   ","142234","2"
"AF188895   ","140180","2"
"AF188895   ","142252","2"
"AF188925   ","141957","2"
"AF188996   ","142024","2"
"AF189001   ","136573","2"
"AF189001   ","142239","2"
"AF189001   ","142241","2"
"AF189018   ","136637","2"
"AF189018   ","141886","2"
"AF189047   ","142257","2"
"AF189102   ","140744","2"
"AF189102   ","141511","2"
"AF189102   ","142254","2"
"AF189164   ","142361","2"
"AF189201   ","139019","2"
"AF189201   ","142183","2"
"AF189215   ","138499","2"
"AF189215   ","139793","2"
"AF189215   ","141089","2"
"AF189215   ","142126","2"
"AF189231   ","142066","2"
"AF189253   ","142153","2"
"AF189265   ","138028","2"
"AF189265   ","140396","2"
"AF189313   ","137304","2"
"AF189313   ","142251","2"
"AF189313   ","142287","2"
"AF189366   ","138174","2"
"AF189366   ","140536","2"
"AF189366   ","142077","2"
"AF189464   ","139920","2"
"AF189464   ","142083","2"
"AF189464   ","142490","2"
"AF189496   ","141922","2"
"AF189496   ","141924","2"
"AF189496   ","141926","2"
"AF189496   ","141929","2"
"AF189504   ","139855","2"
"AF189504   ","139859","2"
"AF189504   ","142261","2"
"AF189529   ","135581","2"
"AF189529   ","140269","2"
"AF189546   ","142085","2"
"AF189589   ","134693","2"
"AF189589   ","140426","2"
"AF189589   ","142255","2"
"AF189607   ","138033","2"
"AF189607   ","141292","2"
"AF189607   ","141293","2"
"AF189617   ","138794","2"
"AF189617   ","142292","2"
"AF189617   ","142293","2"
"AF189617   ","142318","2"
"AF189632   ","136833","2"
"AF189632   ","142315","2"
"AF189777   ","142357","2"
"AF189782   ","139413","2"
"AF189782   ","142054","2"
"AF189782   ","142088","2"
"AF190056   ","142346","2"
"AF190056   ","142363","2"
"AF190110   ","136718","2"
"AF190110   ","142139","2"
"AF190138   ","139351","2"
"AF190138   ","142004","2"
"AF190138   ","142023","2"
"AF190138   ","142159","2"
"AF190138   ","142176","2"
"AF190192   ","137548","2"
"AF190192   ","142125","2"
"AF190399   ","141681","2"
"AF190399   ","141714","2"
"AF190399   ","142049","2"
"AF190455   ","136963","2"
"AF190455   ","141939","2"
"AF190479   ","137308","2"
"AF190479   ","142316","2"
"AF190773   ","142236","2"
"AF190782   ","138233","2"
"AF190782   ","141959","2"
"AF190795   ","139136","2"
"AF190795   ","142450","2"
"AF190833   ","136392","2"
"AF190833   ","141940","2"
"AF190833   ","142056","2"
"AF190914   ","139595","2"
"AF190914   ","142112","2"
"AF191011   ","141458","2"
"AF191011   ","142272","2"
"AF191011   ","142273","2"
"AF191129   ","141111","2"
"AF191441   ","142187","2"
"AF192063   ","138774","2"
"AF192063   ","142341","2"
"AF192063   ","142377","2"
"AF192063   ","142508","2"
"AF192159   ","138123","2"
"AF192159   ","142552","2"
"AF192194   ","141935","2"
"AF192391   ","141981","2"
"AF192610   ","139682","2"
"AF192610   ","141514","2"
"AF193692   ","138103","2"
"AF193692   ","141986","2"
"AF193812   ","140820","2"
"AF193812   ","142147","2"
"AF193812   ","142270","2"
"AF196160   ","142382","2"
"AF196820   ","142432","2"
"AF196859   ","139775","2"
"AF196859   ","141750","2"
"AF196859   ","141751","2"
"AF196859   ","142012","2"
"AF196859   ","142114","2"
"AF196872   ","138653","2"
"AF196872   ","142501","2"
"AF196935   ","138490","2"
"AF196935   ","138762","2"
"AF197280   ","138643","2"
"AF197280   ","142086","2"
"AF197453   ","137352","2"
"AF197453   ","142574","2"
"AF197961   ","142344","2"
"AF197961   ","142365","2"
"AF197961   ","142367","2"
"AF197961   ","142368","2"
"AF197961   ","142369","2"
"AF197961   ","142370","2"
